time_s,delta_w_mps,delta_q_rads,delta_e_rad,delta_w_dot,delta_q_dot,perturbation_az_mps2,delta_alpha_rad,delta_CL,delta_Cm,delta_Lift_N,delta_PitchMom_Nm,total_thrust_N,propulsion_model_status
2.34,0.20924296016296237,0.1469404756415398,0.0,5.579612120695106,-0.7889103210869626,-0.6503231446026938,0.004935245517277417,0.026712792176078443,-0.030632254897102792,15.555343924374402,-4.974796913959455,nan,MODEL_NOT_IDENTIFIED
2.36,0.31182733659567635,0.1307246883447276,0.0,4.680047629991212,-0.8291095905577944,-0.8623758745482791,0.007354820749523944,0.03542310881238264,-0.03219313480473441,20.627519460155575,-5.228289860320434,nan,MODEL_NOT_IDENTIFIED
2.38,0.3965512411421015,0.11391239438388298,0.0,3.796249581378408,-0.8488807134215619,-1.0333716637432602,0.009353135387174522,0.04244696305724529,-0.03296081911431527,24.717637323287736,-5.352964767441266,nan,MODEL_NOT_IDENTIFIED
2.4,0.46388341768191077,0.09689238574940183,0.0,2.9431728768358036,-0.8502251135298938,-1.164839488603896,0.010941245315354772,0.047847159424989155,-0.03301302023997094,27.862269722840402,-5.361442432558946,nan,MODEL_NOT_IDENTIFIED
2.42,0.5145684572258213,0.08001216061910507,0.0,2.1334486564685227,-0.8352613812791544,-1.2588813255688958,0.012136712603751463,0.05171003908343563,-0.03243200000450856,30.111694688584517,-5.267082494512086,nan,MODEL_NOT_IDENTIFIED
2.44,0.5495805554257287,0.06357612688700492,0.0,1.377414737644303,-0.8061713933424637,-1.318065545750328,0.01296251482217255,0.054141100913129146,-0.031302477545982976,31.527346134267763,-5.083643669659122,nan,MODEL_NOT_IDENTIFIED
2.46,0.5700782890603427,0.04784483331380823,0.0,0.6831860784138146,-0.7651514996520556,-1.3453238540783663,0.013445978389863378,0.055260768160837526,-0.02970973397831691,32.17934870308041,-4.824975941417433,nan,MODEL_NOT_IDENTIFIED
2.48,0.5773611520381317,0.03303512333109703,0.0,0.05675926940549614,-0.7143691153069696,-1.34385331834689,0.01361775342514335,0.055200364166748686,-0.02773792691741036,32.144174360530805,-4.504746832771268,nan,MODEL_NOT_IDENTIFIED
2.5,0.572828471864585,0.019321101217568876,0.0,-0.49785489038092645,-0.6559249131120901,-1.317024757051022,0.01351084474114114,0.05409834928656548,-0.025468622471722907,31.502451085852723,-4.136202995852877,nan,MODEL_NOT_IDENTIFIED
2.52,0.557941210045931,0.006835797765462143,0.0,-0.9784765202572192,-0.591820683287228,-1.2682984864619982,0.013159710862621044,0.052096860102976345,-0.02297954728093049,30.336947592005124,-3.7319675381837687,nan,MODEL_NOT_IDENTIFIED
2.54,0.5341870365314766,-0.004326577597987005,0.0,-1.384585023664563,-0.5239328114834577,-1.2011481711699412,0.01259944026492668,0.0493385814966525,-0.020343558705385293,28.7307518758181,-3.3038727774518413,nan,MODEL_NOT_IDENTIFIED
2.56,0.5030489607077231,-0.014107909257327257,0.0,-1.7171359039464837,-0.45399122519880614,-1.118993281785285,0.011865011498452819,0.045963972266464655,-0.017627827345669707,26.765655646269003,-2.86282747951872,nan,MODEL_NOT_IDENTIFIED
2.58,0.46597770102053826,-0.022483079560300517,0.0,-1.9783708539824787,-0.3835635722456321,-1.0251404413703167,0.01099064149313213,0.042108855864800426,-0.014893222715204346,24.52075136591132,-2.418717089270401,nan,MODEL_NOT_IDENTIFIED
2.6,0.424367883092711,-0.029456606340387843,0.0,-2.1716255100555344,-0.3140443230302974,-0.9227337405497993,0.010009224162565286,0.0379023795319804,-0.012193890097416721,22.071243817787884,-1.9803350105815067,nan,MODEL_NOT_IDENTIFIED
2.62,0.37953807301747156,-0.03505910871224856,0.0,-2.30113879383622,-0.24664843073490766,-0.8147139215690936,0.008951859465363943,0.03346533773318042,-0.009577004379702183,19.4874738123084,-1.555342627996503,nan,MODEL_NOT_IDENTIFIED
2.64,0.3327145788744971,-0.0393436882613523,0.0,-2.3718672796144133,-0.18240913948183027,-0.703786174689842,0.007847471344528689,0.028908849357303205,-0.007082684947599607,16.83414789613346,-1.1502554852139906,nan,MODEL_NOT_IDENTIFIED
2.66,0.2850188897208209,-0.04238230421893973,0.0,-2.389307528501324,-0.12217949946073588,-0.5923961565640672,0.0067225114610238315,0.02433337264333619,-0.00474405451499872,14.16976472590614,-0.7704528393403782,nan,MODEL_NOT_IDENTIFIED
2.68,0.2374585674218351,-0.04426221218285866,0.0,-2.3593288376779573,-0.06663712889389808,-0.4827137294570144,0.005600744366716176,0.019828037249701117,-0.0025874240244145212,11.54622612010628,-0.42020768941105097,nan,MODEL_NOT_IDENTIFIED
2.7,0.190921362578162,-0.04508252664359171,0.0,-2.2880183700541696,-0.016291754575379368,-0.3766238318276944,0.004503108721471599,0.015470269252554361,-0.0006325854352956933,9.008618688751593,-0.10273432634638845,nan,MODEL_NOT_IDENTIFIED
